Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH,Assists_Position,ASSISTS,ASSISTS PER MATCH,Pass_Position,Completed Pass,Total Pass
27,VIKTOR TSYGANKOV,GIRONA FC,6,24,0.25,26,4,0.17,180,525,632
145,YAN BUENO COUTO,GIRONA FC,1,28,0.04,4,7,0.25,71,773,941
47,YANGEL HERRERA,GIRONA FC,4,21,0.19,239,0,0,117,690,785
250,ADRI LÓPEZ,GRANADA CF,0,0,0,239,0,0,566,0,0
250,ADRIÀ MIQUEL BOSCH,GRANADA CF,0,1,0,239,0,0,524,11,14
250,ALBERTO PEREA,GRANADA CF,0,2,0,239,0,0,543,6,6
250,ALBERTO SORO,GRANADA CF,0,1,0,239,0,0,559,3,3
250,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,GRANADA CF,0,15,0,239,0,0,261,272,410
250,AUGUSTO BATALLA,GRANADA CF,0,12,0,239,0,0,249,262,448
145,BRUNO MÉNDEZ,GRANADA CF,1,10,0.1,239,0,0,279,271,374
27,BRYAN ZARAGOZA,GRANADA CF,6,21,0.29,74,2,0.1,298,221,337
250,CARLOS NEVA,GRANADA CF,0,29,0,74,2,0.07,59,779,1015
250,EGHOSA BELLO,GRANADA CF,0,0,0,239,0,0,566,0,0
145,FACUNDO PELLISTRI,GRANADA CF,1,8,0.13,137,1,0.13,401,106,139
250,FAITOUT MAOUASSA,GRANADA CF,0,4,0,137,1,0.25,494,24,39
250,FAMARA DIÉDHIOU,GRANADA CF,0,8,0,137,1,0.13,496,19,38
250,FRAN ÁRBOL,GRANADA CF,0,0,0,239,0,0,566,0,0
250,GERARD GUMBAU,GRANADA CF,0,27,0,46,3,0.11,53,816,1045
145,GONZALO VILLAR,GRANADA CF,1,27,0.04,46,3,0.11,112,671,803
145,IGNASI MIQUEL,GRANADA CF,1,29,0.03,137,1,0.03,24,1130,1358
250,JESÚS VALLEJO,GRANADA CF,0,3,0,239,0,0,449,74,81
250,JOSÉ ANTONIO RODRÍGUEZ DÍAZ,GRANADA CF,0,25,0,74,2,0.08,380,134,173
250,JOSÉ CALLEJÓN,GRANADA CF,0,20,0,137,1,0.05,343,198,243
250,KAMIL JÓZWIAK,GRANADA CF,0,6,0,239,0,0,475,35,58
250,KAMIL PIATKOWSKI,GRANADA CF,0,5,0,239,0,0,384,146,168
250,LASSINA SANGARE,GRANADA CF,0,0,0,239,0,0,566,0,0
