Assists_Position,NAME,TEAM,ASSISTS,GAMES,ASSISTS PER MATCH
239,RONALD ARAUJO,FC BARCELONA,0,21,0
239,FRENKIE DE JONG,FC BARCELONA,0,19,0
239,ABNER VINÍCIUS DA SILVA SANTOS,REAL BETIS,0,18,0
239,RODRIGO SÁNCHEZ RODRÍGUEZ,REAL BETIS,0,22,0
239,PAUL AKOUOKOU,REAL BETIS,0,2,0
239,GUIDO RODRÍGUEZ,REAL BETIS,0,18,0
239,ANDRÉS GUARDADO,REAL BETIS,0,12,0
239,RUI TIAGO DANTAS DA SILVA,REAL BETIS,0,21,0
239,LUIZ FELIPE RAMOS MARCHI,REAL BETIS,0,4,0
239,GERMÁN PEZZELLA,REAL BETIS,0,28,0
239,RAFAEL JIMÉNEZ JARQUE,CÁDIZ CF,0,24,0
239,CONAN LEDESMA,CÁDIZ CF,0,27,0
239,IZA CARCELÉN,CÁDIZ CF,0,28,0
239,FEDE SAN EMETERIO,CÁDIZ CF,0,4,0
239,JORGE MERÉ,CÁDIZ CF,0,10,0
239,DARWIN MACHÍS,CÁDIZ CF,0,19,0
239,ÁLEX FERNÁNDEZ,CÁDIZ CF,0,21,0
239,LUCAS PIRES SILVA,CÁDIZ CF,0,22,0
239,LUIS HERNÁNDEZ,CÁDIZ CF,0,9,0
239,THOMAS LEMAR,ATLÉTICO DE MADRID,0,3,0
239,STEFAN SAVIC,ATLÉTICO DE MADRID,0,18,0
239,ÇAGLAR SÖYÜNCÜ,ATLÉTICO DE MADRID,0,6,0
239,JAN OBLAK,ATLÉTICO DE MADRID,0,30,0
239,KIKE GARCÍA,DEPORTIVO ALAVÉS,0,27,0
239,RUBÉN DUARTE,DEPORTIVO ALAVÉS,0,22,0
239,MAMADOU SYLLA,DEPORTIVO ALAVÉS,0,2,0
239,ABDE REBBACH,DEPORTIVO ALAVÉS,0,20,0
239,RAFA MARÍN,DEPORTIVO ALAVÉS,0,27,0
239,ANTONIO SIVERA,DEPORTIVO ALAVÉS,0,30,0
239,ALEKSANDAR SEDLAR,DEPORTIVO ALAVÉS,0,11,0
239,ANDONI GOROSABEL,DEPORTIVO ALAVÉS,0,29,0
239,ABDEL ABQAR,DEPORTIVO ALAVÉS,0,21,0
239,MIGUEL DE LA FUENTE,DEPORTIVO ALAVÉS,0,3,0
239,ANDER GUEVARA,DEPORTIVO ALAVÉS,0,29,0
239,JESÚS VALLEJO,GRANADA CF,0,3,0
239,NJEGOS PETROVIC,GRANADA CF,0,10,0
239,RICARD SÁNCHEZ,GRANADA CF,0,28,0
239,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,GRANADA CF,0,15,0
239,MIGUEL RUBIO,GRANADA CF,0,12,0
239,ÓSCAR MELENDO,GRANADA CF,0,22,0
239,BENITO RAMÍREZ,UD LAS PALMAS,0,15,0
239,JULIÁN ARAUJO,UD LAS PALMAS,0,22,0
239,FRANCISCO JESÚS CRESPO,UD LAS PALMAS,0,15,0
239,BEN BRERETON,VILLARREAL CF,0,14,0
239,MATTEO GABBIA,VILLARREAL CF,0,7,0
239,ARNAU PUIGMAL,UD ALMERÍA,0,11,0
239,IBRAHIMA KONÉ,UD ALMERÍA,0,8,0
