Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH
250,DIEGO MÉNDEZ,RAYO VALLECANO,0,1,0
250,IVÁN BALLIU,RAYO VALLECANO,0,27,0
250,STOLE DIMITRIEVSKI,RAYO VALLECANO,0,30,0
250,ÓSCAR TREJO,RAYO VALLECANO,0,24,0
250,ÁLVARO LEMOS,UD LAS PALMAS,0,3,0
250,DALEY SINKGRAVEN,UD LAS PALMAS,0,7,0
250,OMENUKE MFULU,UD LAS PALMAS,0,5,0
250,ÁLVARO VALLÉS,UD LAS PALMAS,0,30,0
250,ENZO LOIODICE,UD LAS PALMAS,0,29,0
250,IGOR ZUBELDIA,REAL SOCIEDAD,0,28,0
250,JON OLASAGASTI,REAL SOCIEDAD,0,12,0
250,BEÑAT TURRIENTES,REAL SOCIEDAD,0,21,0
250,HAMARI TRAORÉ,REAL SOCIEDAD,0,25,0
250,AIHEN MUÑOZ,REAL SOCIEDAD,0,21,0
250,MOHAMED-ALI CHO,REAL SOCIEDAD,0,11,0
250,ÁLEX REMIRO,REAL SOCIEDAD,0,29,0
250,OMAR MASCARELL,RCD MALLORCA,0,21,0
250,JAUME COSTA,RCD MALLORCA,0,25,0
250,PREDRAG RAJKOVIC,RCD MALLORCA,0,29,0
250,SERGI DARDER,RCD MALLORCA,0,28,0
250,PABLO MAFFEO,RCD MALLORCA,0,17,0
250,MARTIN VALJENT,RCD MALLORCA,0,22,0
250,AMATH NDIAYE,RCD MALLORCA,0,15,0
250,GIOVANNI GONZÁLEZ,RCD MALLORCA,0,28,0
250,MANU MORLANES,RCD MALLORCA,0,27,0
250,BERNARDO ESPINOSA,GIRONA FC,0,2,0
250,PAULO GAZZANIGA,GIRONA FC,0,30,0
250,PABLO TORRE,GIRONA FC,0,21,0
250,ARNAU MARTÍNEZ,GIRONA FC,0,15,0
250,UNAI SIMÓN,ATHLETIC CLUB,0,29,0
250,DANI VIVIAN,ATHLETIC CLUB,0,27,0
250,IMANOL GARCÍA DE ALBÉNIZ,ATHLETIC CLUB,0,6,0
250,ÍÑIGO LEKUE,ATHLETIC CLUB,0,21,0
250,ANDER HERRERA,ATHLETIC CLUB,0,17,0
250,EDUARDO CAMAVINGA,REAL MADRID,0,23,0
250,FRAN GARCÍA,REAL MADRID,0,20,0
250,ANDRIY LUNIN,REAL MADRID,0,18,0
250,ÉDER GABRIEL MILITÃO,REAL MADRID,0,2,0
250,DAVID ALABA,REAL MADRID,0,14,0
250,JUAN IGLESIAS,GETAFE CF,0,22,0
250,DAVID SORIA,GETAFE CF,0,30,0
250,DAMIÁN SUÁREZ,GETAFE CF,0,16,0
